Experiment,MAE,RMSE
BASELINE (Mean),17.698627526905334,126.88816439661531
BASELINE (User Avg),17.69951963915371,126.88829615946236
USER-CF (k=20),26.145130500009518,128.6517391476802
ITEM-CF (k=20),27.75532810785807,144.84560326514872
FUNKSVD (MF),1323.6550714351918,1329.6129592208424
BIAS-SVD (MF+Bias),29.280426624908937,122.82850997396815
---ABLATION STUDY 1---,---,---
FunkSVD (MF),1323.6550714351918,1329.6129592208424
Bias-SVD (MF+Bias),29.280426624908937,122.82850997396815
Improvement (Bias),97.79%,90.76%
---ABLATION STUDY 2---,---,---
User-CF (k=10),17.69853554298262,126.88757603237947
User-CF (k=20),17.698483554680617,126.88756023137839
User-CF (k=40) [BEST],17.69842086708965,126.8874677665618
Item-CF (k=10) [BEST],17.698515279743926,126.88792669101171
Item-CF (k=20),17.698551298315316,126.8879570029551
Item-CF (k=40),17.698579392990553,126.88797466858671
